Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
Constant_25733,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_1,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
Constant_25736,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_2,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Concat,Concat,0.0,0.0,32.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4,4,32.0,0.0,32.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Reshape,Reshape,0.0,0.0,1310720.0,0.0046,0.0,0.0046,"1x256x1280, 4",1x256x20x64,,327684,327680,1310752.0,0.0,1310720.0,0.0,1.0,1.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Transpose,Transpose,0.0,0.0,1310720.0,0.0046,0.0,0.0046,1x256x20x64,1x20x256x64,,327680,327680,1310720.0,0.0,1310720.0,0.0,1.0,1.0
Constant_25743,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_3,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
