Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
Constant_1501,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/Unsqueeze,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
Constant_1503,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/Unsqueeze_1,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
Constant_1505,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/Unsqueeze_2,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
/down_blocks.0/attentions.0/Concat,Concat,0.0,0.0,24.0,0.0,0.0,0.0,"1, 1, 1",3,,3,3,24.0,0.0,24.0
/down_blocks.0/attentions.0/Reshape,Reshape,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x64x64x320, 3",1x4096x320,,1310723,1310720,5242904.0,0.0,5242880.0
/down_blocks.0/attentions.0/proj_in/MatMul,MatMul,102400.0,0.01,5652480.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320x320,1310720,1310720,5242880.0,409600.0,5242880.0
/down_blocks.0/attentions.0/proj_in/Add,Add,320.0,0.0,5244160.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320,1310720,1310720,5242880.0,1280.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/ReduceMean,ReduceMean,0.0,0.0,16384.0,0.0,0.0,0.0,1x4096x320,1x4096x1,,1310720,4096,5242880.0,0.0,16384.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Sub,Sub,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x4096x320, 1x4096x1",1x4096x320,,1314816,1310720,5259264.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Pow,Pow,0.0,0.0,5242880.0,0.04,0.0,0.04,1x4096x320,1x4096x320,,1310720,1310720,5242880.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/ReduceMean_1,ReduceMean,0.0,0.0,16384.0,0.0,0.0,0.0,1x4096x320,1x4096x1,,1310720,4096,5242880.0,0.0,16384.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Add,Add,0.0,0.0,16384.0,0.0,0.0,0.0,1x4096x1,1x4096x1,,4096,4096,16384.0,0.0,16384.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Sqrt,Sqrt,0.0,0.0,16384.0,0.0,0.0,0.0,1x4096x1,1x4096x1,,4096,4096,16384.0,0.0,16384.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Div,Div,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x4096x320, 1x4096x1",1x4096x320,,1314816,1310720,5259264.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Mul,Mul,320.0,0.0,5244160.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320,1310720,1310720,5242880.0,1280.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/norm1/Add_1,Add,320.0,0.0,5244160.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320,1310720,1310720,5242880.0,1280.0,5242880.0
