Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/layers.17/self_attn/Unsqueeze_23,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/layers.17/self_attn/Concat_9,Concat,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 1, 1, 1, 1",5,,5.0,0.0,5.0,40.0,0.0,40.0,0.0,4e-05,4e-05
/model/layers.17/self_attn/Shape_13,Shape,0.0,0.0,,,0.0,0.0,,,,5,1,,5.0,0.0,1.0,40.0,,,,,
/model/layers.17/self_attn/ConstantOfShape_1,ConstantOfShape,0.0,0.0,,,0.0,0.0,,,,1,5,,1.0,0.0,5.0,8.0,,,,,
/model/layers.17/self_attn/Mul_6,Mul,0.0,0.0,,,5.0,0.0,,,,5,5,,5.0,0.0,5.0,40.0,,,,,
/model/layers.17/self_attn/Equal_1,Equal,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,"5, 5",5,,10.0,0.0,5.0,80.0,0.0,5.0,0.0,5e-06,5e-06
/model/layers.17/self_attn/Where_1,Where,0.0,0.0,40.0,0.0,5.0,0.0,0.125,0.0,0.0,"5, 5, 5",5,,15.0,0.0,5.0,85.0,0.0,40.0,0.0,4e-05,4e-05
/model/layers.17/self_attn/Expand_1,Expand,0.0,0.0,8396800.0,0.047,4198400.0,0.054,0.5,0.0,0.047,"1x8x1x1025x128, 5",1x8x4x1025x128,,1049605.0,0.0,4198400.0,2099240.0,0.0,8396800.0,0.0,8.3968,8.3968
Constant_7119,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Unsqueeze_24,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_7121,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Unsqueeze_25,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_7123,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Unsqueeze_26,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_7125,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Unsqueeze_27,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/layers.17/self_attn/Concat_10,Concat,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4.0,0.0,4.0,32.0,0.0,32.0,0.0,3.2e-05,3.2e-05
