Node,Operation,Inputs Shape,Weights and Bias Shape,Output Shape,Weights and Bias Params Size,Output Params Size,Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose_2,Transpose,1x4096x5x64,,1x5x64x4096,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Sqrt_1,Sqrt,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Mul,Mul,"1x5x4096x64, 1",,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Sqrt_2,Sqrt,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Mul_1,Mul,"1x5x64x4096, 1",,1x5x64x4096,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/MatMul,MatMul,"1x5x4096x64, 1x5x64x4096",,1x5x4096x4096,0,83886080,0,335544320
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Softmax,Softmax,1x5x4096x4096,,1x5x4096x4096,0,83886080,0,335544320
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/MatMul_1,MatMul,"1x5x4096x4096, 1x5x4096x64",,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose_3,Transpose,1x5x4096x64,,1x4096x5x64,0,1310720,0,5242880
Constant_1581,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_6,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_13,Constant,,,1,0,1,0,8
Constant_1584,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_7,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat_3,Concat,"1, 1, 1",,3,0,3,0,24
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape_3,Reshape,"1x4096x5x64, 3",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Cast_4,Cast,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_out.0/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_out.0/Add,Add,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Div_2,Div,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/Add,Add,"1x4096x320, 1x4096x320",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/ReduceMean,ReduceMean,1x4096x320,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Sub,Sub,"1x4096x320, 1x4096x1",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Pow,Pow,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/ReduceMean_1,ReduceMean,1x4096x320,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Add,Add,1x4096x1,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Sqrt,Sqrt,1x4096x1,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Div,Div,"1x4096x320, 1x4096x1",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Mul,Mul,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm2/Add_1,Add,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Shape,Shape,1x77x1024,,3,0,3,0,24
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/to_q/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/to_k/MatMul,MatMul,1x77x1024,1024x320,1x77x320,327680,24640,1310720,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/to_v/MatMul,MatMul,1x77x1024,1024x320,1x77x320,327680,24640,1310720,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Shape_1,Shape,1x77x320,,3,0,3,0,24
Constant_1618,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_3,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_4,Constant,,,1,0,1,0,8
Constant_1622,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_1,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Concat,Concat,"1, 1, 1, 1",,4,0,4,0,32
Constant_1625,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_2,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_5,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_6,Constant,,,1,0,1,0,8
Constant_1629,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_3,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Concat_1,Concat,"1, 1, 1, 1",,4,0,4,0,32
Constant_1632,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_4,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_7,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_8,Constant,,,1,0,1,0,8
Constant_1636,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_5,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Concat_2,Concat,"1, 1, 1, 1",,4,0,4,0,32
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Reshape,Reshape,"1x4096x320, 4",,1x4096x5x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Transpose,Transpose,1x4096x5x64,,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Reshape_1,Reshape,"1x77x320, 4",,1x77x5x64,0,24640,0,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Reshape_2,Reshape,"1x77x320, 4",,1x77x5x64,0,24640,0,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Transpose_1,Transpose,1x77x5x64,,1x5x77x64,0,24640,0,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Shape_2,Shape,1x5x4096x64,,4,0,4,0,32
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_9,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_10,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Slice,Slice,"4, 1, 1",,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Cast_2,Cast,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Sqrt,Sqrt,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_11,Constant,,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Div_1,Div,"1, 1",,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Cast_3,Cast,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Transpose_2,Transpose,1x77x5x64,,1x5x64x77,0,24640,0,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Sqrt_1,Sqrt,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Mul,Mul,"1x5x4096x64, 1",,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Sqrt_2,Sqrt,1,,1,0,1,0,4
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Mul_1,Mul,"1x5x64x77, 1",,1x5x64x77,0,24640,0,98560
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/MatMul,MatMul,"1x5x4096x64, 1x5x64x77",,1x5x4096x77,0,1576960,0,6307840
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Softmax,Softmax,1x5x4096x77,,1x5x4096x77,0,1576960,0,6307840
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/MatMul_1,MatMul,"1x5x4096x77, 1x5x77x64",,1x5x4096x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Transpose_3,Transpose,1x5x4096x64,,1x4096x5x64,0,1310720,0,5242880
Constant_1664,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_6,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Constant_13,Constant,,,1,0,1,0,8
Constant_1667,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Unsqueeze_7,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Concat_3,Concat,"1, 1, 1",,3,0,3,0,24
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Reshape_3,Reshape,"1x4096x5x64, 3",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Cast_4,Cast,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/to_out.0/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/to_out.0/Add,Add,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/attn2/Div_2,Div,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/Add_1,Add,"1x4096x320, 1x4096x320",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/ReduceMean,ReduceMean,1x4096x320,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Sub,Sub,"1x4096x320, 1x4096x1",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Pow,Pow,1x4096x320,,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/ReduceMean_1,ReduceMean,1x4096x320,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Add,Add,1x4096x1,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Sqrt,Sqrt,1x4096x1,,1x4096x1,0,4096,0,16384
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Div,Div,"1x4096x320, 1x4096x1",,1x4096x320,0,1310720,0,5242880
